Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1975,1975,t,466800,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1976,1976,t,640700,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1977,1977,t,876500,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1978,1978,t,1120000,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1979,1979,t,1168400,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1980,1980,t,1230600,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1981,1981,t,1339700,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1982,1982,t,1200900,X,Figure from external organization,Data sourced from another international organization
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1983,1983,t,1371600,X,Figure from external organization,Data sourced from another international organization
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1984,1984,t,1819700,X,Figure from external organization,Data sourced from another international organization
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1985,1985,t,2061300,X,Figure from external organization,Data sourced from another international organization
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1986,1986,t,2220800,X,Figure from external organization,Data sourced from another international organization
